,사업장명,업종구분대분류,업종구분소분류,인허가일자,인허가취소일자,영업상태명,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지전체주소,도로명전체주소,도로명우편번호,데이터갱신일자
0,카페송키,일반음식점,기타,20181129,,영업/정상,영업,,,,,80.14,제주특별자치도 제주시 삼도이동 1120-2번지,"제주특별자치도 제주시 무근성안길 16, 1층 (삼도이동)",63166.0,2022-10-27
1,그림책방앤카페노란우산,일반음식점,기타,20181227,,영업/정상,영업,,,,,104.25,제주특별자치도 제주시 애월읍 광령리 2981-1번지 자연숲,"제주특별자치도 제주시 애월읍 하광로 515, 104동 102호 (자연숲)",63062.0,2022-10-27
2,에릭스에스프레소,일반음식점,기타,20181102,,영업/정상,영업,,,,,27.0,제주특별자치도 제주시 구좌읍 세화리 1397-6번지,"제주특별자치도 제주시 구좌읍 구좌로 77, 1층",63361.0,2022-10-27
3,일품순두부한림점,일반음식점,한식,20190107,,영업/정상,영업,,,,,152.0,제주특별자치도 제주시 한림읍 대림리 1845-2번지,"제주특별자치도 제주시 한림읍 한림상로 237, 1층",63030.0,2022-10-27
4,김복남맥주제주아라점,일반음식점,식육(숯불구이),20190107,,영업/정상,영업,,,,,82.0,제주특별자치도 제주시 아라일동 6139,"제주특별자치도 제주시 중앙로 581, 에이동 1층 (아라일동)",63248.0,2022-10-27
5,봉플라봉뱅,일반음식점,기타,20190107,,영업/정상,영업,,,,,58.94,제주특별자치도 제주시 연동 312-57번지 정인하우스,"제주특별자치도 제주시 문송1길 6-1, 정인하우스 1층 (연동)",63122.0,2022-10-27
6,아라포차,일반음식점,정종/대포집/소주방,20181102,,영업/정상,영업,,,,,107.9,제주특별자치도 제주시 아라일동 6138,"제주특별자치도 제주시 중앙로 573, 1층 (아라일동)",63248.0,2022-10-27
7,가빈거래처,일반음식점,기타,20181120,,영업/정상,영업,,,,,114.51,제주특별자치도 제주시 아라일동 368-81,"제주특별자치도 제주시 산천단동2길 13, 1층 (아라일동)",63243.0,2022-10-27
8,스톤아일랜드탭하우스,일반음식점,기타,20181102,,영업/정상,영업,,,,,180.0,제주특별자치도 제주시 연동 280-37,"제주특별자치도 제주시 삼무로7길 16, 1층 (연동)",63118.0,2022-10-27
9,레게펍,일반음식점,기타,20181105,,영업/정상,영업,,,,,30.2,제주특별자치도 제주시 한림읍 귀덕리 3019,,,2022-10-27
10,옹포분식,일반음식점,기타,20181204,,영업/정상,영업,,,,,46.14,제주특별자치도 제주시 한림읍 옹포리 127-15번지,"제주특별자치도 제주시 한림읍 월계로 15, 1층",63012.0,2022-10-27
11,연두랑고갈비,일반음식점,한식,20181204,,영업/정상,영업,,,,,54.46,제주특별자치도 제주시 도남동 67-9,"제주특별자치도 제주시 독짓골2길 10, 1층 (도남동)",63221.0,2022-10-27
12,협재더꽃돈본점,일반음식점,기타,20181204,,영업/정상,영업,,,,,117.78,제주특별자치도 제주시 한림읍 협재리 1781-1,"제주특별자치도 제주시 한림읍 한림로 366, 1층",63011.0,2022-10-27
13,우차도리,일반음식점,기타,20181204,,영업/정상,영업,,,,,118.7,제주특별자치도 제주시 도련일동 1977-5,"제주특별자치도 제주시 건주로6길 42, 1층 (도련일동)",63323.0,2022-10-27
14,솥돈가,일반음식점,식육(숯불구이),20181204,,영업/정상,영업,,,,,120.0,제주특별자치도 제주시 외도일동 495-6,"제주특별자치도 제주시 우정로 44, 1층 (외도일동)",63069.0,2022-10-27
15,와르다레스토랑,일반음식점,기타,20181105,,영업/정상,영업,,,,,42.64,제주특별자치도 제주시 삼도이동 148-3번지,"제주특별자치도 제주시 관덕로8길 24-1, 1층 (삼도이동)",63169.0,2022-10-27
16,길섶나그네,일반음식점,한식,20181120,,영업/정상,영업,,,,,250.0,제주특별자치도 제주시 조천읍 와산리 1303-6,"제주특별자치도 제주시 조천읍 미래로 241, 1층",63346.0,2022-10-27
17,사랑뜰,일반음식점,기타,20181120,,영업/정상,영업,,,,,16.5,제주특별자치도 제주시 한림읍 한림리 1419-1번지,"제주특별자치도 제주시 한림읍 한림로 662-1, 1층",63032.0,2022-10-27
18,불티나네,일반음식점,기타,20181122,,영업/정상,영업,,,,,123.0,제주특별자치도 제주시 애월읍 하귀2리 2720,"제주특별자치도 제주시 애월읍 가문동상2길 29-7, 1층",63050.0,2022-10-27
19,수니테이블,일반음식점,분식,20190123,,영업/정상,영업,,,,,50.0,제주특별자치도 제주시 구좌읍 하도리 1544-2번지,제주특별자치도 제주시 구좌읍 문주란로 33-1,63363.0,2022-10-27
20,연화양꼬치,일반음식점,중국식,20190123,,영업/정상,영업,,,,,104.59,제주특별자치도 제주시 연동 276-3,"제주특별자치도 제주시 연동8길 28, 1층 105,106호 (연동)",63136.0,2022-10-27
21,돈대표,일반음식점,기타,20190123,,영업/정상,영업,,,,,82.0,제주특별자치도 제주시 조천읍 함덕리 955-8번지,"제주특별자치도 제주시 조천읍 함덕로 20, 1층",63333.0,2022-10-27
22,예쁘게즐겁게,일반음식점,기타,20190122,,영업/정상,영업,,,,,194.75,제주특별자치도 제주시 구좌읍 월정리 278,"제주특별자치도 제주시 구좌읍 월정3길 14, 1층",63358.0,2022-10-27
23,황금손가락한림점,일반음식점,일식,20190122,,영업/정상,영업,,,,,277.61,제주특별자치도 제주시 한림읍 수원리 942-1,제주특별자치도 제주시 한림읍 한림해안로 275,63023.0,2022-10-27
24,24시누름돌김치찌개,일반음식점,기타,20190122,,영업/정상,영업,,,,,152.1,제주특별자치도 제주시 연동 304-3,"제주특별자치도 제주시 노연로 146, 1층 (연동)",63133.0,2022-10-27
25,선흘바람,일반음식점,기타,20190122,,영업/정상,영업,,,,,31.4,제주특별자치도 제주시 조천읍 선흘리 464-2번지,"제주특별자치도 제주시 조천읍 선교로 571, 1층",63341.0,2022-10-27
26,이돈갓아라점,일반음식점,기타,20190123,,영업/정상,영업,,,,,123.71,제주특별자치도 제주시 아라일동 6127-4,"제주특별자치도 제주시 인다10길 36, 2층 (아라일동)",63248.0,2022-10-27
27,바삭돈가스삼화점,일반음식점,경양식,20190123,,영업/정상,영업,,,,,81.28,제주특별자치도 제주시 화북일동 1019-4 티엠빌딩,"제주특별자치도 제주시 화삼로 7, 티엠빌딩 3층 301호 (화북일동)",63303.0,2022-10-27
28,제주도모퉁이스낵연회장,일반음식점,기타,20190123,,영업/정상,영업,,,,,110.0,제주특별자치도 제주시 한림읍 귀덕리 3769,"제주특별자치도 제주시 한림읍 일주서로 5673, 1층",63024.0,2022-10-27
29,남궁푸드,일반음식점,기타,20190122,,영업/정상,영업,,,,,180.0,제주특별자치도 제주시 한림읍 한림리 936-7,"제주특별자치도 제주시 한림읍 한림중앙로 46, 2층",63032.0,2022-10-27
30,한림피그농원,일반음식점,기타,20190129,,영업/정상,영업,,,,,148.29,제주특별자치도 제주시 한림읍 한림리 455,"제주특별자치도 제주시 한림읍 한수풀로2길 31, 1층",63028.0,2022-10-27
31,하도39,일반음식점,기타,20190115,,영업/정상,영업,,,,,40.05,제주특별자치도 제주시 구좌읍 하도리 463-5번지,"제주특별자치도 제주시 구좌읍 해맞이해안로 1766-14, 1층",63363.0,2022-10-27
32,옥성식당,일반음식점,기타,20190115,,영업/정상,영업,,,,,23.43,제주특별자치도 제주시 이도일동 1289-5 보성시장,"제주특별자치도 제주시 동광로1길 32, 보성시장 (이도일동)",63197.0,2022-10-27
33,제주마당,일반음식점,기타,20190117,,영업/정상,영업,,,,,415.41,제주특별자치도 제주시 이호일동 663-1번지,"제주특별자치도 제주시 도리로 50, 2층 (이호일동)",63108.0,2022-10-27
34,공산명월,일반음식점,기타,20190117,,영업/정상,영업,,,,,86.25,제주특별자치도 제주시 애월읍 광령리 2611-1,"제주특별자치도 제주시 애월읍 광령평화3길 18, 1층",63062.0,2022-10-27
35,대붕정,일반음식점,한식,20190117,,영업/정상,영업,,,,,48.6,제주특별자치도 제주시 조천읍 선흘리 464-2번지,"제주특별자치도 제주시 조천읍 선교로 571, 1층",63341.0,2022-10-27
36,미연이네집,일반음식점,기타,20190117,,영업/정상,영업,,,,,33.0,제주특별자치도 제주시 연동 281-17 삼무주택,"제주특별자치도 제주시 삼무로7길 34, 삼무주택 1층 (연동)",63125.0,2022-10-27
37,영화루,일반음식점,중국식,20190121,,영업/정상,영업,,,,,156.66,제주특별자치도 제주시 연동 304-37,"제주특별자치도 제주시 사장길 15-1, 1층 (연동)",63133.0,2022-10-27
38,맥주창고,일반음식점,기타,20190121,,영업/정상,영업,,,,,205.52,제주특별자치도 제주시 도남동 909-1번지 윤재연립,"제주특별자치도 제주시 도남로 40, 1층 (도남동, 윤재연립)",63201.0,2022-10-27
39,성두길일오포차,일반음식점,기타,20190121,,영업/정상,영업,,,,,71.1,제주특별자치도 제주시 연동 291-83,"제주특별자치도 제주시 성두길 15, 1층 (연동)",63125.0,2022-10-27
40,램앤블랙,일반음식점,기타,20190111,,영업/정상,영업,,,,,179.09,제주특별자치도 제주시 조천읍 교래리 471-3,"제주특별자치도 제주시 조천읍 교래1길 45, B,C동 1층",63346.0,2022-10-27
41,살레안의고깃,일반음식점,기타,20190111,,영업/정상,영업,,,,,187.22,제주특별자치도 제주시 노형동 1942-1번지,"제주특별자치도 제주시 월산남길 110, 1층 (노형동)",63093.0,2022-10-27
42,쉬멍해장국,일반음식점,한식,20190125,,영업/정상,영업,,,,,198.0,제주특별자치도 제주시 이도이동 2035-9,"제주특별자치도 제주시 구남로4길 8-12, 1층 (이도이동)",63233.0,2022-10-27
43,우도청정식당,일반음식점,한식,20190125,,영업/정상,영업,,,,,87.97,제주특별자치도 제주시 우도면 연평리 1185-2번지,"제주특별자치도 제주시 우도면 우도해안길 804, 1층",63365.0,2022-10-27
44,사쿠라미치,일반음식점,호프/통닭,20190125,,영업/정상,영업,,,,,64.0,제주특별자치도 제주시 삼도일동 529-3번지,"제주특별자치도 제주시 전농로 48-1, 1층 (삼도일동)",63176.0,2022-10-27
45,앤드앤드,일반음식점,기타,20190208,,영업/정상,영업,,,,,85.68,제주특별자치도 제주시 연동 256-10번지 뉴전원빌라,"제주특별자치도 제주시 연동4길 28-16, 1층 102호 (연동, 뉴전원빌라)",63137.0,2022-10-27
46,향기마라탕오리전문점,일반음식점,중국식,20190208,,영업/정상,영업,,,,,22.16,제주특별자치도 제주시 삼도이동 1241-12,"제주특별자치도 제주시 중앙로 140, 1층 (삼도이동)",63179.0,2022-10-27
47,폭풍장어외도점,일반음식점,기타,20190215,,영업/정상,영업,,,,,111.1,제주특별자치도 제주시 외도일동 405-4,"제주특별자치도 제주시 일주서로 7326, 1층 (외도일동)",63069.0,2022-10-27
48,인추자커피앤민박,일반음식점,기타,20190215,,영업/정상,영업,,,,,118.6,제주특별자치도 제주시 추자면 대서리 8-8,"제주특별자치도 제주시 추자면 추자로 20-1, 1층",63000.0,2022-10-27
49,혜안,일반음식점,기타,20190215,,영업/정상,영업,,,,,229.89,제주특별자치도 제주시 해안동 1724-1,"제주특별자치도 제주시 해안마을10길 39, 1층 (해안동)",63077.0,2022-10-27
